MeSH Disease Term	MeSH Disease Term.1	symptom similarity score	similarity_score	shared_genes	sim_norm	gene_norm	repurposing_score
Progeria	Werner Syndrome	0.9787700228790064	0.9787700228790064	0	0.9708430655687613	0.0	0.7766744524550091
Syncope	Tachycardia, Ventricular	0.9785930979312424	0.9785930979312424	0	0.9705900084251498	0.0	0.7764720067401198
Fibrous Dysplasia, Polyostotic	Cafe-au-Lait Spots	0.9780852866309874	0.9780852866309874	0	0.9698636819304394	0.0	0.7758909455443516
Disorders of Sex Development	Adrenocortical Carcinoma	0.9778947617913328	0.9778947617913328	0	0.9695911727545466	0.0	0.7756729382036374
Cleft Palate	Cleft Lip	0.9707554158684638	0.9707554158684638	1	0.9593797101579526	0.04	0.7755037681263621
Hirschsprung Disease	Megacolon	0.9776367934718502	0.9776367934718502	0	0.9692221986392757	0.0	0.7753777589114206
Diabetes Insipidus, Neurogenic	Diabetes Insipidus, Nephrogenic	0.97755294155746	0.97755294155746	0	0.9691022645869551	0.0	0.7752818116695641
Metabolic Syndrome X	Hypertriglyceridemia	0.9773593426605904	0.9773593426605904	0	0.9688253585628623	0.0	0.7750602868502899
Neurofibromatoses	Cafe-au-Lait Spots	0.9770450143377593	0.9770450143377593	0	0.9683757722917504	0.0	0.7747006178334004
Metabolic Syndrome X	Hyperlipidemia, Familial Combined	0.976758328815294	0.976758328815294	0	0.9679657237353047	0.0	0.7743725789882437
Rhinitis, Allergic, Seasonal	Rhinitis, Allergic, Perennial	0.9763129958956274	0.9763129958956274	0	0.9673287605594988	0.0	0.773863008447599
Myocardial Ischemia	Coronary Restenosis	0.9759342372733464	0.9759342372733464	0	0.9667870191245908	0.0	0.7734296152996727
Charcot-Marie-Tooth Disease	Muscular Atrophy	0.9755210115946004	0.9755210115946004	0	0.9661959791878718	0.0	0.7729567833502975
Frontotemporal Dementia	Pick Disease of the Brain	0.9751303842694478	0.9751303842694478	0	0.9656372618539455	0.0	0.7725098094831564
Glomerulonephritis	Lecithin Acyltransferase Deficiency	0.9751087151148374	0.9751087151148374	0	0.9656062682917629	0.0	0.7724850146334103
Diabetes Mellitus, Type 1	Albuminuria	0.9749552488681807	0.9749552488681807	0	0.9653867643127563	0.0	0.772309411450205
Long QT Syndrome	Tachycardia, Ventricular	0.9749259669213336	0.9749259669213336	0	0.9653448821139925	0.0	0.7722759056911941
Microcephaly	Phenylketonurias	0.9747567565620952	0.9747567565620952	0	0.9651028592069941	0.0	0.7720822873655954
Heart Defects, Congenital	Tetralogy of Fallot	0.9742674865402244	0.9742674865402244	0	0.9644030524485118	0.0	0.7715224419588095
Metabolic Syndrome X	Hypoalphalipoproteinemias	0.9741901454355872	0.9741901454355872	0	0.964292430858563	0.0	0.7714339446868504
Angina Pectoris	Coronary Disease	0.97408753766123	0.97408753766123	0	0.9641456701522898	0.0	0.7713165361218319
Hemophilia A	Hemophilia B	0.9736338591840494	0.9736338591840494	0	0.9634967702599664	0.0	0.7707974162079732
Sick Sinus Syndrome	Tachycardia, Ventricular	0.973254162629866	0.973254162629866	0	0.9629536872936851	0.0	0.7703629498349481
Glomerulonephritis	Nephrosis	0.9724289722356696	0.9724289722356696	0	0.9617734109859616	0.0	0.7694187287887693
Tetralogy of Fallot	Transposition of Great Vessels	0.9723597375803668	0.9723597375803668	0	0.9616743841142213	0.0	0.7693395072913771
Fibrous Dysplasia, Polyostotic	Colorectal Neoplasms, Hereditary Nonpolyposis	0.97154912135875	0.97154912135875	0	0.9605149533601075	0.0	0.7684119626880861
Diabetes Mellitus, Type 1	Diabetic Nephropathies	0.9714202330085128	0.9714202330085128	0	0.9603306033395589	0.0	0.7682644826716472
Syncope	Arrhythmogenic Right Ventricular Dysplasia	0.9713533976911648	0.9713533976911648	0	0.9602350082597569	0.0	0.7681880066078056
Hypertriglyceridemia	Obesity	0.9703290787606432	0.9703290787606432	0	0.9587699168411581	0.0	0.7670159334729265
Heart Defects, Congenital	Transposition of Great Vessels	0.9699497410434946	0.9699497410434946	0	0.9582273471223086	0.0	0.7665818776978469
Hyperinsulinism	Diabetes Mellitus	0.9698443677733616	0.9698443677733616	0	0.9580766309056875	0.0	0.7664613047245501
Mitochondrial Myopathies	Mitochondrial Encephalomyopathies	0.9698365292979996	0.9698365292979996	0	0.9580654194727581	0.0	0.7664523355782066
Mental Retardation	Abnormalities, Multiple	0.9697652593932936	0.9697652593932936	0	0.9579634815677973	0.0	0.7663707852542379
Craniofacial Abnormalities	Abnormalities, Multiple	0.9697328249924316	0.9697328249924316	0	0.9579170903892744	0.0	0.7663336723114196
Hypertriglyceridemia	Diabetes Mellitus	0.9696818592702258	0.9696818592702258	0	0.9578441937161567	0.0	0.7662753549729254
Insulin Resistance	Diabetes Mellitus	0.9694898187787356	0.9694898187787356	0	0.9575695166915288	0.0	0.766055613353223
Mental Retardation	Phenylketonurias	0.9689126194683298	0.9689126194683298	0	0.9567439439804337	0.0	0.765395155184347
Hyperinsulinism	Glucose Intolerance	0.9687317426185752	0.9687317426185752	0	0.9564852344003386	0.0	0.765188187520271
Insulin Resistance	Hypertriglyceridemia	0.9686702981014038	0.9686702981014038	0	0.9563973498244068	0.0	0.7651178798595255
Heart Block	Tachycardia, Ventricular	0.9684672483341636	0.9684672483341636	0	0.9561069261461287	0.0	0.764885540916903
Supranuclear Palsy, Progressive	Striatonigral Degeneration	0.9673893326066674	0.9673893326066674	0	0.954565174807487	0.0	0.7636521398459897
Microcephaly	Amino Acid Metabolism, Inborn Errors	0.967065740190262	0.967065740190262	0	0.95410233803051	0.0	0.7632818704244081
Chromosome Disorders	Chromosome Aberrations	0.9668035862456538	0.9668035862456538	0	0.9537273771827184	0.0	0.7629819017461748
Urticaria	Dermatitis, Atopic	0.9667526456821942	0.9667526456821942	0	0.9536545164943533	0.0	0.7629236131954826
Hypertriglyceridemia	Hyperinsulinism	0.966631327032714	0.966631327032714	0	0.9534809934763038	0.0	0.7627847947810431
Neurofibromatoses	Fibrous Dysplasia, Polyostotic	0.9665388300322344	0.9665388300322344	0	0.9533486942893895	0.0	0.7626789554315117
Hyperinsulinism	Hypoalphalipoproteinemias	0.9658880844342844	0.9658880844342844	0	0.9524179277450653	0.0	0.7619343421960523
Chromosome Aberrations	Chromosome Breakage	0.9654717866312468	0.9654717866312468	0	0.9518224937248217	0.0	0.7614579949798574
Microcephaly	Chromosome Disorders	0.965221321717278	0.965221321717278	0	0.9514642517894424	0.0	0.7611714014315539
Deafness	Ichthyosiform Erythroderma, Congenital	0.9651026509745658	0.9651026509745658	0	0.9512945160932585	0.0	0.7610356128746069
Nephritis, Interstitial	Nephrotic Syndrome	0.964763317262007	0.964763317262007	0	0.9508091644166493	0.0	0.7606473315333195
Drug-Induced Liver Injury	Hepatitis	0.9640856281346506	0.9640856281346506	0	0.9498398603304092	0.0	0.7598718882643274
Hypocalcemia	Hypoparathyroidism	0.9637763206502596	0.9637763206502596	0	0.9493974554039877	0.0	0.7595179643231902
Abnormalities, Multiple	Chromosome Disorders	0.9636844381944216	0.9636844381944216	0	0.9492660352051053	0.0	0.7594128281640843
Long QT Syndrome	Atrioventricular Block	0.9562430064967552	0.9562430064967552	1	0.9386224969500921	0.04	0.7588979975600738
Obesity	Diabetes Mellitus	0.9631282143380686	0.9631282143380686	0	0.9484704638508321	0.0	0.7587763710806658
Dysgammaglobulinemia	Immunologic Deficiency Syndromes	0.9631022148003024	0.9631022148003024	0	0.9484332765075802	0.0	0.7587466212060643
Fatty Liver	Metabolic Syndrome X	0.9630125538965776	0.9630125538965776	0	0.9483050338121491	0.0	0.7586440270497193
Cholangiocarcinoma	Bile Duct Neoplasms	0.9629632741036088	0.9629632741036088	0	0.9482345485368726	0.0	0.7585876388294981
Craniofacial Abnormalities	Chromosome Disorders	0.962866835717158	0.962866835717158	0	0.9480966119546201	0.0	0.7584772895636962
Long QT Syndrome	Arrhythmogenic Right Ventricular Dysplasia	0.962687350315681	0.962687350315681	0	0.9478398925739348	0.0	0.7582719140591478
Tauopathies	Supranuclear Palsy, Progressive	0.962613972335527	0.962613972335527	0	0.947734939472089	0.0	0.7581879515776713
Tachycardia, Ventricular	Torsades de Pointes	0.9625978016601996	0.9625978016601996	0	0.9477118104280489	0.0	0.7581694483424392
Fatty Liver	Obesity	0.9624189791733968	0.9624189791733968	0	0.9474560392194333	0.0	0.7579648313755467
Agranulocytosis	Neutropenia	0.9622868132481552	0.9622868132481552	0	0.9472670012575907	0.0	0.7578136010060725
Fatty Liver	Insulin Resistance	0.9621561174153116	0.9621561174153116	0	0.9470800659804613	0.0	0.7576640527843691
Liver Diseases	Hepatitis	0.9619753665868308	0.9619753665868308	0	0.9468215366495849	0.0	0.757457229319668
Sick Sinus Syndrome	Heart Block	0.9618038895855092	0.9618038895855092	0	0.9465762717465968	0.0	0.7572610173972775
Fatty Liver	Hyperlipidemia, Familial Combined	0.961800393065104	0.961800393065104	0	0.9465712706459747	0.0	0.7572570165167798
Microcephaly	Chromosome Breakage	0.9615311233886678	0.9615311233886678	0	0.9461861321110119	0.0	0.7569489056888096
Tachycardia, Ventricular	Atrioventricular Block	0.9611927604133028	0.9611927604133028	0	0.9457021688874422	0.0	0.7565617351099538
Dwarfism	Phenylketonurias	0.960984476216908	0.960984476216908	0	0.9454042583639957	0.0	0.7563234066911966
Glomerulonephritis	Nephritis, Interstitial	0.96056408890962	0.96056408890962	0	0.9448029750936748	0.0	0.7558423800749399
Glaucoma	Retinal Diseases	0.9602214076989886	0.9602214076989886	0	0.9443128354642574	0.0	0.7554502683714059
Glomerulonephritis	Immune Complex Diseases	0.9599731730056248	0.9599731730056248	0	0.9439577834309414	0.0	0.7551662267447532
Craniofacial Abnormalities	Chromosome Aberrations	0.959550511482004	0.959550511482004	0	0.9433532473311219	0.0	0.7546825978648976
Syncope	Heart Block	0.9593563398366276	0.9593563398366276	0	0.9430755221003373	0.0	0.7544604176802698
Heart Block	Long QT Syndrome	0.9591268009727552	0.9591268009727552	0	0.9427472108589124	0.0	0.75419776868713
Sick Sinus Syndrome	Arrhythmogenic Right Ventricular Dysplasia	0.9590180164056182	0.9590180164056182	0	0.9425916154373701	0.0	0.7540732923498962
Glomerulosclerosis, Focal Segmental	Denys-Drash Syndrome	0.9587835563064128	0.9587835563064128	0	0.9422562653143622	0.0	0.7538050122514899
Hyperlipidemias	Diabetes Mellitus	0.9586868332911996	0.9586868332911996	0	0.9421179216253536	0.0	0.7536943373002829
Abnormalities, Multiple	Craniofacial Dysostosis	0.958651842456666	0.958651842456666	0	0.9420678739596536	0.0	0.753654299167723
Craniofacial Abnormalities	Microcephaly	0.9586289046263256	0.9586289046263256	0	0.942035065800601	0.0	0.7536280526404808
Epilepsy	Epilepsy, Generalized	0.9582594467385964	0.9582594467385964	0	0.9415066272794366	0.0	0.7532053018235493
Diabetes Mellitus	Hyperlipidemia, Familial Combined	0.9581932932252952	0.9581932932252952	0	0.9414120073893225	0.0	0.753129605911458
Intestinal Perforation	Peritonitis	0.9581098504572828	0.9581098504572828	0	0.9412926585422824	0.0	0.753034126833826
Urticaria	Pruritus	0.9578578658203716	0.9578578658203716	0	0.9409322429352317	0.0	0.7527457943481854
Incontinentia Pigmenti	Classical Lissencephalies and Subcortical Band Heterotopias	0.9577080469404056	0.9577080469404056	0	0.9407179558134751	0.0	0.7525743646507801
Nephrocalcinosis	Dent Disease	0.9575226553497372	0.9575226553497372	0	0.9404527887639603	0.0	0.7523622310111683
Glomerulonephritis, IGA	Immune Complex Diseases	0.9574958249472042	0.9574958249472042	0	0.9404144130283008	0.0	0.7523315304226407
Coronary Artery Disease	Angina Pectoris	0.9568062978201204	0.9568062978201204	0	0.939428176957991	0.0	0.7515425415663928
Metabolic Syndrome X	Glucose Intolerance	0.9567797356403448	0.9567797356403448	0	0.9393901848634499	0.0	0.75151214789076
Hypertriglyceridemia	Hyperlipidemia, Familial Combined	0.9563516048461108	0.9563516048461108	0	0.938777826022878	0.0	0.7510222608183024
Nephrotic Syndrome	Denys-Drash Syndrome	0.9557733043095566	0.9557733043095566	0	0.937950678219366	0.0	0.7503605425754928
Dystonia	Pantothenate Kinase-Associated Neurodegeneration	0.9557433908591229	0.9557433908591229	0	0.9379078927760579	0.0	0.7503263142208464
Glomerulonephritis	Hematuria	0.9485780726083508	0.9485780726083508	1	0.9276592817546931	0.04	0.7501274254037545
Dystonic Disorders	Pantothenate Kinase-Associated Neurodegeneration	0.9555040161993794	0.9555040161993794	0	0.9375655133184787	0.0	0.750052410654783
Abnormalities, Multiple	Chromosome Breakage	0.9554966780282677	0.9554966780282677	0	0.9375550174746514	0.0	0.7500440139797212
Liddle Syndrome	Neutropenia	0.9552256017713512	0.9552256017713512	0	0.9371672949734261	0.0	0.7497338359787409
Hyperinsulinism	Metabolic Diseases	0.9551918234409918	0.9551918234409918	0	0.9371189815619784	0.0	0.7496951852495828
Metabolic Syndrome X	Dyslipidemias	0.9548954273869456	0.9548954273869456	0	0.9366950439558768	0.0	0.7493560351647015
Myoclonus	Unverricht-Lundborg Syndrome	0.9547741249820824	0.9547741249820824	0	0.9365215441726306	0.0	0.7492172353381045
Arrhythmias, Cardiac	Tachycardia	0.9546358969136222	0.9546358969136222	0	0.9363238354796872	0.0	0.7490590683837498
Cushing Syndrome	Acanthosis Nigricans	0.9542539330593568	0.9542539330593568	0	0.9357775095762754	0.0	0.7486220076610204
alpha-Thalassemia	Hydrops Fetalis	0.9540077239954192	0.9540077239954192	0	0.9354253548166513	0.0	0.7483402838533211
Insulin Resistance	Metabolic Diseases	0.9539631784300194	0.9539631784300194	0	0.9353616409442828	0.0	0.7482893127554262
Colorectal Neoplasms, Hereditary Nonpolyposis	Cafe-au-Lait Spots	0.9538543391082116	0.9538543391082116	0	0.9352059672067042	0.0	0.7481647737653634
Arrhythmias, Cardiac	Bundle-Branch Block	0.9530660958843944	0.9530660958843944	0	0.9340785367272194	0.0	0.7472628293817756
Diabetes Mellitus, Type 2	Hyperuricemia	0.9529474666304248	0.9529474666304248	0	0.9339088603727104	0.0	0.7471270882981683
Ophthalmoplegia	Duane Retraction Syndrome	0.9529065578332891	0.9529065578332891	0	0.933850348198579	0.0	0.7470802785588633
Hypertension, Pulmonary	Polycythemia	0.9521984247452984	0.9521984247452984	0	0.9328374998761205	0.0	0.7462699999008965
Drug-Induced Liver Injury	Jaundice, Chronic Idiopathic	0.9519340629609172	0.9519340629609172	0	0.9324593811377456	0.0	0.7459675049101966
Bundle-Branch Block	Death, Sudden, Cardiac	0.9518017889596584	0.9518017889596584	0	0.932270188593926	0.0	0.7458161508751409
Hyperlipidemias	Hypertriglyceridemia	0.9515056848465472	0.9515056848465472	0	0.9318466685532389	0.0	0.7454773348425912
Hydrops Fetalis	Anemia, Diamond-Blackfan	0.9512212783468476	0.9512212783468476	0	0.9314398797009705	0.0	0.7451519037607764
Phenylketonurias	Chromosome Breakage	0.9509068487777264	0.9509068487777264	0	0.9309901486164941	0.0	0.7447921188931953
Multiple System Atrophy	Supranuclear Palsy, Progressive	0.9505980080876512	0.9505980080876512	0	0.9305484113496518	0.0	0.7444387290797215
Liver Diseases	Drug-Induced Liver Injury	0.9505709552937636	0.9505709552937636	0	0.9305097175258897	0.0	0.7444077740207118
Diabetes Mellitus	Hypoalphalipoproteinemias	0.9502998612384014	0.9502998612384014	0	0.9301219695674077	0.0	0.7440975756539262
Glomerulonephritis, Membranoproliferative	Immune Complex Diseases	0.9501774116565306	0.9501774116565306	0	0.9299468289678694	0.0	0.7439574631742956
Insulin Resistance	Glucose Intolerance	0.9499207124829762	0.9499207124829762	0	0.9295796701219965	0.0	0.7436637360975973
Glaucoma, Open-Angle	Low Tension Glaucoma	0.9497903973082816	0.9497903973082816	0	0.9293932793032103	0.0	0.7435146234425682
Paralyses, Familial Periodic	Paralysis, Hyperkalemic Periodic	0.949702896789603	0.949702896789603	0	0.9292681266234938	0.0	0.743414501298795
Diabetes Mellitus	Glucose Intolerance	0.9490453035990798	0.9490453035990798	0	0.9283275659136825	0.0	0.742662052730946
Tachycardia, Ventricular	Death, Sudden, Cardiac	0.9490272546500031	0.9490272546500031	0	0.9283017503599336	0.0	0.7426414002879469
Mental Retardation	Amino Acid Metabolism, Inborn Errors	0.948897389790982	0.948897389790982	0	0.9281160036311951	0.0	0.7424928029049561
Insulin Resistance	Endometrial Hyperplasia	0.9487207265493938	0.9487207265493938	0	0.9278633208079838	0.0	0.7422906566463872
Ophthalmoplegia, Chronic Progressive External	Mitochondrial Myopathies	0.9485610917074498	0.9485610917074498	0	0.9276349938386459	0.0	0.7421079950709167
Long QT Syndrome	Torsades de Pointes	0.9484573941404906	0.9484573941404906	0	0.9274866743934471	0.0	0.7419893395147578
Bacterial Infections	Communicable Diseases	0.9483357370081608	0.9483357370081608	0	0.9273126672407169	0.0	0.7418501337925736
Cardiomyopathy, Dilated	Ventricular Dysfunction, Left	0.9482916225360508	0.9482916225360508	0	0.9272495699644697	0.0	0.7417996559715758
Neovascularization, Pathologic	Hypertension, Pulmonary	0.9480952528069286	0.9480952528069286	0	0.9269687007972242	0.0	0.7415749606377794
Insulin Resistance	Endometrial Neoplasms	0.9480061541890552	0.9480061541890552	0	0.9268412623436666	0.0	0.7414730098749334
Metabolism, Inborn Errors	Amino Acid Metabolism, Inborn Errors	0.9475543676221624	0.9475543676221624	0	0.9261950684655003	0.0	0.7409560547724002
Citrullinemia	Carbamoyl-Phosphate Synthase I Deficiency Disease	0.9470266338533044	0.9470266338533044	0	0.9254402467073347	0.0	0.7403521973658678
Abnormalities, Multiple	Phenylketonurias	0.946845282980198	0.946845282980198	0	0.9251808591279131	0.0	0.7401446873023305
Fatty Liver	Hypertriglyceridemia	0.9466573170642708	0.9466573170642708	0	0.9249120100007435	0.0	0.7399296080005948
Appendicitis	Peritonitis	0.94652975635198	0.94652975635198	0	0.9247295589111865	0.0	0.7397836471289492
Mental Retardation	Chromosome Disorders	0.94649293070827	0.94649293070827	0	0.9246768869034979	0.0	0.7397415095227984
Syncope	Torsades de Pointes	0.9464376101940188	0.9464376101940188	0	0.9245977615370844	0.0	0.7396782092296675
Ophthalmoplegia, Chronic Progressive External	Mitochondrial Encephalomyopathies	0.9463731163950798	0.9463731163950798	0	0.9245055155494697	0.0	0.7396044124395758
Phenylketonurias	Amino Acid Metabolism, Inborn Errors	0.9463587745106842	0.9463587745106842	0	0.9244850022394756	0.0	0.7395880017915806
Myocardial Ischemia	Myocardial Infarction	0.946315764822516	0.946315764822516	0	0.9244234851443852	0.0	0.7395387881155082
Dermatitis, Contact	Dermatitis, Allergic Contact	0.9461005458494128	0.9461005458494128	0	0.9241156557552979	0.0	0.7392925246042383
Hypertriglyceridemia	Glucose Intolerance	0.945943914626718	0.945943914626718	0	0.9238916248861837	0.0	0.739113299908947
Metabolic Syndrome X	Metabolic Diseases	0.945610908830944	0.945610908830944	0	0.9234153240786961	0.0	0.7387322592629569
Glomerulonephritis, Membranoproliferative	Hematuria	0.9453310556777968	0.9453310556777968	0	0.9230150479137961	0.0	0.7384120383310369
Abnormalities, Multiple	Amino Acid Metabolism, Inborn Errors	0.9453156829992624	0.9453156829992624	0	0.922993060250842	0.0	0.7383944482006737
Obesity	Dyslipidemias	0.9451049760218054	0.9451049760218054	0	0.9226916844045967	0.0	0.7381533475236774
Heart Block	Torsades de Pointes	0.944657536750798	0.944657536750798	0	0.9220517084979097	0.0	0.7376413667983278
Hyperinsulinism	Endometrial Hyperplasia	0.9446503762828564	0.9446503762828564	0	0.9220414668243238	0.0	0.737633173459459
Heart Defects, Congenital	Methemoglobinemia	0.9444553633107056	0.9444553633107056	0	0.9217625382372399	0.0	0.7374100305897919
Hypertriglyceridemia	Dyslipidemias	0.9443970704150924	0.9443970704150924	0	0.921679161450398	0.0	0.7373433291603184
Fatty Liver	Endometrial Neoplasms	0.9442916109893588	0.9442916109893588	0	0.9215283220047441	0.0	0.7372226576037954
Abnormalities, Multiple	Fibromatosis, Gingival	0.9441491696589928	0.9441491696589928	0	0.9213245870501761	0.0	0.7370596696401409
Obesity	Endometrial Neoplasms	0.9439223751278628	0.9439223751278628	0	0.9210002010494462	0.0	0.736800160839557
Insulin Resistance	Dyslipidemias	0.9436705074791129	0.9436705074791129	0	0.9206399527714824	0.0	0.736511962217186
Myocardial Ischemia	Coronary Artery Disease	0.9435872771131114	0.9435872771131114	0	0.9205209077247083	0.0	0.7364167261797667
Myocardial Infarction	Coronary Restenosis	0.943375318530261	0.943375318530261	0	0.9202177416974296	0.0	0.7361741933579438
Fetal Growth Retardation	Premature Birth	0.9432724170365372	0.9432724170365372	0	0.9200705608820375	0.0	0.73605644870563
Hyperlipidemias	Hyperlipoproteinemias	0.9430945696027806	0.9430945696027806	0	0.9198161842994589	0.0	0.7358529474395672
