MeSH Disease Term	MeSH Disease Term.1	similarity_score	shared_genes	shared_symptoms	repurposing_score
Mental Retardation	Chromosome Disorders	0.94649293070827	0	7	0.6948061321420989
Hypertriglyceridemia	Glucose Intolerance	0.945943914626718	0	7	0.6943349749317104
Mental Retardation	Phenylketonurias	0.9689126194683298	0	6	0.6940463663882603
Heart Block	Tachycardia, Ventricular	0.9684672483341636	0	6	0.6936641556876773
Hypertriglyceridemia	Dyslipidemias	0.9443970704150924	0	7	0.6930074968702389
Insulin Resistance	Dyslipidemias	0.9436705074791129	0	7	0.6923839716628896
Microcephaly	Chromosome Disorders	0.965221321717278	0	6	0.6908785510736655
Obesity	Hyperlipidemia, Familial Combined	0.9874969866405624	0	5	0.6899951862642715
Drug-Induced Liver Injury	Hepatitis	0.9640856281346506	0	6	0.6899039161982456
Obesity	Diabetes Mellitus	0.9631282143380686	0	6	0.6890822783104994
Down Syndrome	Cri-du-Chat Syndrome	0.9395086768663624	0	7	0.6888123522376987
Syncope	Sick Sinus Syndrome	0.9856872124706146	0	5	0.688442065731016
Glomerulonephritis, Membranoproliferative	Nephrotic Syndrome	0.9856570097062866	0	5	0.6884161461802687
Lung Diseases, Interstitial	Idiopathic Pulmonary Fibrosis	0.9388871588454256	0	7	0.6882789749710018
Craniofacial Abnormalities	Mental Retardation	0.938513011187604	0	7	0.6879578871692851
Sick Sinus Syndrome	Heart Block	0.9618038895855092	0	6	0.6879457630479582
Insulin Resistance	Hyperlipidemia, Familial Combined	0.9821302922284028	0	5	0.6853895711407705
Hyperlipidemias	Diabetes Mellitus	0.9586868332911996	0	6	0.6852707529752122
Coronary Artery Disease	Coronary Stenosis	0.911562652904532	0	8	0.6848295015822364
Intestinal Perforation	Peritonitis	0.9581098504572828	0	6	0.6847755951253696
Proteinuria	Glomerulonephritis, Membranoproliferative	0.9813004298942316	0	5	0.6846773959686528
Glomerulonephritis, IGA	Immune Complex Diseases	0.9574958249472042	0	6	0.6842486478169806
Glomerulonephritis	Glomerulosclerosis, Focal Segmental	0.9802960844211652	0	5	0.6838154820334205
Hyperalgesia	Sciatic Neuropathy	0.9802213086628032	0	5	0.6837513106204175
Coronary Artery Disease	Angina Pectoris	0.9568062978201204	0	6	0.6836569061747947
Glomerulonephritis	Proteinuria	0.9797044872794866	0	5	0.683307782408012
Tachycardia, Ventricular	Arrhythmogenic Right Ventricular Dysplasia	0.9794506446379556	0	5	0.6830899385326135
Lung Diseases, Interstitial	Pulmonary Fibrosis	0.9326572515777448	0	7	0.6829325637676679
Myocardial Ischemia	Coronary Disease	0.9087351726316288	0	8	0.6824030012253728
Lung Diseases, Obstructive	Pulmonary Emphysema	0.9081507584948888	0	8	0.6819014659450223
Arrhythmias, Cardiac	Tachycardia	0.9546358969136222	0	6	0.6817943012878124
Neoplasms, Experimental	Liver Neoplasms, Experimental	0.9075401495113165	0	8	0.6813774506474651
Metabolic Syndrome X	Hyperlipidemia, Familial Combined	0.976758328815294	0	5	0.6807794342411828
Arrhythmias, Cardiac	Bundle-Branch Block	0.9530660958843944	0	6	0.6804471220363317
Myocardial Infarction	Coronary Stenosis	0.9063332997631488	0	8	0.6803417506382825
Charcot-Marie-Tooth Disease	Muscular Atrophy	0.9755210115946004	0	5	0.6797175875127232
Bundle-Branch Block	Death, Sudden, Cardiac	0.9518017889596584	0	6	0.6793621131563556
Hyperlipidemias	Hypertriglyceridemia	0.9515056848465472	0	6	0.6791080011319435
Microcephaly	Phenylketonurias	0.9747567565620952	0	5	0.6790617155241966
Refractive Errors	Amblyopia	0.9047246761870644	0	8	0.6789612544704277
Hemophilia A	Hemophilia B	0.9736338591840494	0	5	0.6780980621559799
Sick Sinus Syndrome	Tachycardia, Ventricular	0.973254162629866	0	5	0.6777722123762111
Glomerulosclerosis, Focal Segmental	Lecithin Acyltransferase Deficiency	0.9951648315609888	0	4	0.6765756135847019
Proteinuria	Lecithin Acyltransferase Deficiency	0.9950191457016668	0	4	0.6764505882067984
Epilepsy	Epilepsies, Partial	0.924598487745196	0	7	0.6760166558114007
Hypertension	Hypertrophy, Left Ventricular	0.9243573772126852	0	7	0.6758097384373741
Myopia	Refractive Errors	0.9240979816524528	0	7	0.6755871291320132
Fatty Liver	Hypertriglyceridemia	0.9466573170642708	0	6	0.6749472060004462
Mitochondrial Myopathies	Mitochondrial Encephalomyopathies	0.9698365292979996	0	5	0.674839251683655
Dermatitis, Contact	Dermatitis, Allergic Contact	0.9461005458494128	0	6	0.6744693934531788
Nephrotic Syndrome	Lecithin Acyltransferase Deficiency	0.9924347436324936	0	4	0.6742326938493288
Obesity	Dyslipidemias	0.9451049760218054	0	6	0.6736150106427581
Growth Disorders	Dwarfism	0.8981844225848497	0	8	0.6733485087859252
Microcephaly	Amino Acid Metabolism, Inborn Errors	0.967065740190262	0	5	0.6724614028183061
Syncope	Long QT Syndrome	0.990176564421482	0	4	0.6722947589629591
Myocardial Infarction	Coronary Restenosis	0.943375318530261	0	6	0.6721306450184579
Optic Nerve Diseases	Glaucoma	0.92006396747667	0	7	0.6721251998195658
Hypertriglyceridemia	Hyperinsulinism	0.966631327032714	0	5	0.6720885960857823
Fetal Growth Retardation	Premature Birth	0.9432724170365372	0	6	0.6720423365292226
Psychotic Disorders	Psychoses, Substance-Induced	0.9192835352151392	0	7	0.6714554447803315
Chromosome Disorders	Amino Acid Metabolism, Inborn Errors	0.9425605877208444	0	6	0.6714314554896244
Glomerulonephritis	Glomerulonephritis, IGA	0.9419093585823428	0	6	0.6708725805959185
Nephrocalcinosis	Nephrolithiasis	0.9557939317550682	6	3	0.6707881090901016
Nephritis, Interstitial	Nephrotic Syndrome	0.964763317262007	0	5	0.6704854986499896
Colorectal Neoplasms	Rectal Neoplasms	0.9179574547065592	0	7	0.6703174227548072
Hand Deformities, Congenital	Hypertelorism	0.9410512599027404	0	6	0.6701361734236975
Mitochondrial Diseases	Mitochondrial Myopathies	0.9177098331392564	0	7	0.6701049177102325
Hypertension	Diabetes Mellitus, Type 2	0.9409964076959102	0	6	0.6700891000981207
Abnormalities, Multiple	Dwarfism	0.9409488591345218	0	6	0.6700482946494379
Fatty Liver	Glucose Intolerance	0.9175368868462296	0	7	0.6699564978447539
Microcephaly	Dwarfism	0.940784826349952	0	6	0.6699075242206889
Hypocalcemia	Hypoparathyroidism	0.9637763206502596	0	5	0.6696384732423927
Hypergammaglobulinemia	Immunologic Deficiency Syndromes	0.9403782337177032	0	6	0.6695585926377865
Glucose Intolerance	Dyslipidemias	0.9170613246936024	0	7	0.6695483776735471
Myocardial Infarction	Myocardial Stunning	0.9401056062350998	0	6	0.6693246278988746
Coronary Artery Disease	Coronary Restenosis	0.9165942932455088	0	7	0.6691475784225935
Dysgammaglobulinemia	Immunologic Deficiency Syndromes	0.9631022148003024	0	5	0.6690599659045482
Craniofacial Abnormalities	Chromosome Disorders	0.962866835717158	0	5	0.6688579671727721
Tauopathies	Supranuclear Palsy, Progressive	0.962613972335527	0	5	0.6686409636832534
Agranulocytosis	Neutropenia	0.9622868132481552	0	5	0.6683602007545545
Hyperbilirubinemia, Hereditary	Gilbert Disease	0.9855071734567	0	4	0.6682875590008719
Neurodegenerative Diseases	Tauopathies	0.9385004116484382	0	6	0.667947074437336
Fatty Liver	Hyperlipidemia, Familial Combined	0.961800393065104	0	5	0.6679427623875849
von Willebrand Diseases	Hemorrhagic Disorders	0.9148619743345024	0	7	0.6676609288087866
Dwarfism	Phenylketonurias	0.960984476216908	0	5	0.6672425550183975
Craniofacial Abnormalities	Chromosome Aberrations	0.959550511482004	0	5	0.6660119483986732
Hyperinsulinism	Dyslipidemias	0.9361307415928212	0	6	0.6659134598120782
Abnormalities, Multiple	Craniofacial Dysostosis	0.958651842456666	0	5	0.6652407243757923
Diabetes Mellitus	Dyslipidemias	0.935345010179266	0	6	0.6652391571215652
Craniofacial Abnormalities	Microcephaly	0.9586289046263256	0	5	0.6652210394803607
Asthma	Bronchial Hyperreactivity	0.9341450983113974	0	6	0.6642094110952212
Infection	Bacterial Infections	0.9341347564798458	0	6	0.6642005358934414
Tachycardia	Tachycardia, Ventricular	0.9325386213482691	0	6	0.6628307571177979
Colonic Neoplasms	Adenocarcinoma	0.8856694940186434	0	8	0.6626083883603131
Hyperinsulinism	Metabolic Diseases	0.9551918234409918	0	5	0.6622713889371871
Skin Diseases	Dermatitis	0.908544925841706	0	7	0.6622397343378673
Cerebral Infarction	Stroke	0.9316308631389244	0	6	0.6620517328961155
Optic Atrophy	Retinal Diseases	0.9083150894728866	0	7	0.662042492278814
Myoclonus	Unverricht-Lundborg Syndrome	0.9547741249820824	0	5	0.6619129265035784
Disorders of Sex Development	Adrenocortical Carcinoma	0.9778947617913328	0	4	0.661754703652728
Cushing Syndrome	Acanthosis Nigricans	0.9542539330593568	0	5	0.6614665057457653
Lung Diseases, Obstructive	Emphysema	0.884170727951621	0	8	0.6613221702277455
Insulin Resistance	Metabolic Diseases	0.9539631784300194	0	5	0.6612169845665697
Malaria	Malaria, Falciparum	0.9072998265327892	0	7	0.6611712091402308
Cholestasis	Cholestasis, Intrahepatic	0.9070136020026272	0	7	0.6609255756229125
Diabetes Mellitus, Type 2	Hyperuricemia	0.9529474666304248	0	5	0.6603453162236262
Ophthalmoplegia	Duane Retraction Syndrome	0.9529065578332891	0	5	0.6603102089191475
Fatty Liver	Dyslipidemias	0.9291882608934856	0	6	0.6599555289802002
Hypertension, Pulmonary	Polycythemia	0.9521984247452984	0	5	0.6597024999256724
Duodenal Ulcer	Stomach Ulcer	0.9283338111542416	0	6	0.6592222532728267
Liver Diseases	Drug-Induced Liver Injury	0.9505709552937636	0	5	0.6583058305155339
Glaucoma, Open-Angle	Low Tension Glaucoma	0.9497903973082816	0	5	0.6576359675819262
Anorexia Nervosa	Bulimia Nervosa	0.8796040134443415	0	8	0.6574030856322479
Cardiomyopathy, Hypertrophic	Aortic Valve Stenosis	0.9256349671080544	0	6	0.6569061465597394
Mental Retardation	Amino Acid Metabolism, Inborn Errors	0.948897389790982	0	5	0.6568696021787171
Insulin Resistance	Endometrial Hyperplasia	0.9487207265493938	0	5	0.6567179924847903
Arrhythmias, Cardiac	Ventricular Fibrillation	0.9253496058058616	0	6	0.6566612538514712
Ophthalmoplegia, Chronic Progressive External	Mitochondrial Myopathies	0.9485610917074498	0	5	0.6565809963031876
Abnormalities, Multiple	Polydactyly	0.9018747126995436	0	7	0.6565154593623976
Diabetes Mellitus, Type 1	Diabetic Nephropathies	0.9714202330085128	0	4	0.6561983620037355
Osteoarthritis	Osteoarthritis, Knee	0.924619115410044	0	6	0.6560343581581136
Arrhythmias, Cardiac	Death, Sudden, Cardiac	0.92424165924866	0	6	0.6557104310492047
Hand Deformities, Congenital	Foot Deformities, Congenital	0.9235774307677	0	6	0.6551404003184744
Appendicitis	Peritonitis	0.94652975635198	0	5	0.654837735346712
Macular Degeneration	Choroidal Neovascularization	0.8991810094273288	0	7	0.6542037643829655
Metabolic Syndrome X	Metabolic Diseases	0.945610908830944	0	5	0.6540491944472178
Diabetes Insipidus	Diabetes Insipidus, Neurogenic	0.9921932169575765	0	3	0.6540254193482491
Mental Retardation	Dwarfism	0.9221021739394898	0	6	0.6538743574553558
Craniofacial Abnormalities	Craniofacial Dysostosis	0.9217080135326348	0	6	0.6535360950182802
Hyperinsulinism	Endometrial Hyperplasia	0.9446503762828564	0	5	0.6532248800945943
Diabetes Mellitus, Type 2	Hypertrophy, Left Ventricular	0.9210332296929004	0	6	0.6529570058399708
Psychotic Disorders	Schizophrenia	0.920766254315933	0	6	0.6527278916517328
Urticaria	Dermatitis, Atopic	0.9667526456821942	0	4	0.652192709896612
Spinal Diseases	Spondylitis, Ankylosing	0.8967130617114066	0	7	0.6520858093716446
Osteoporosis	Osteoporosis, Postmenopausal	0.8729825277275155	0	8	0.6517206277884842
Pre-Eclampsia	Hypertension, Pregnancy-Induced	0.9424722631365824	0	5	0.6513556566813054
Hyperlipidemias	Dyslipidemias	0.91876993812094	0	6	0.6510146836035686
Obesity	Metabolic Diseases	0.9418219197746917	0	5	0.6507975419475494
Colitis	Celiac Disease	0.9184469917550644	0	6	0.6507375359680733
Hyperglycemia	Glucose Intolerance	0.91843946668922	0	6	0.6507310780715738
Hyperlipidemias	Hyperinsulinism	0.9411961323037316	0	5	0.6502605007040939
Hypergammaglobulinemia	Job's Syndrome	0.9864919414520056	0	3	0.6491326718438992
Adenocarcinoma	Gastrointestinal Neoplasms	0.8695363302796126	0	8	0.6487631538081007
Tachycardia, Ventricular	Torsades de Pointes	0.9625978016601996	0	4	0.6486270862568295
Tachycardia	Ventricular Fibrillation	0.9153869062320444	0	6	0.6481114173405444
Dwarfism	Chromosome Aberrations	0.9386769193268976	0	5	0.648098550629363
Metabolic Syndrome X	Hyperlipidemias	0.9386120673328278	0	5	0.6480428956392074
Osteoarthritis	Osteoarthritis, Hip	0.9385278104684012	0	5	0.6479705876858827
Tachycardia, Ventricular	Atrioventricular Block	0.9611927604133028	0	4	0.6474213013324654
Craniofacial Abnormalities	Craniosynostoses	0.9373732478623144	0	5	0.6469797597029117
Glomerulonephritis	Nephritis, Interstitial	0.96056408890962	0	4	0.646881785056205
Bone Diseases, Developmental	Abnormalities, Multiple	0.913407954277035	0	6	0.6464131110177506
Syncope	Heart Block	0.9593563398366276	0	4	0.6458453132602024
Glomerulonephritis, Membranoproliferative	Lecithin Acyltransferase Deficiency	0.9822685401063538	0	3	0.6455082133567389
Diabetes Mellitus, Type 1	Diabetic Angiopathies	0.9347081492144796	0	5	0.6446926127749482
Glomerulonephritis, IGA	Glomerulonephritis, Membranoproliferative	0.9343681495648278	0	5	0.6444008302719472
Wolff-Parkinson-White Syndrome	Death, Sudden, Cardiac	0.934063676412944	0	5	0.6441395360663671
Skin Diseases	Urticaria	0.8870113357710158	0	7	0.6437599364443756
Sick Sinus Syndrome	Long QT Syndrome	0.9801207599407664	0	3	0.6436650212438859
Seizures	Seizures, Febrile	0.933500705278656	0	5	0.6436564028430003
Chromosome Disorders	Polydactyly	0.9101738897594543	0	6	0.6436376862760699
Depressive Disorder	Depressive Disorder, Major	0.8634882458455636	0	8	0.6435727801817294
Dermatitis, Atopic	Pruritus	0.9797730529157708	0	3	0.6433666243891591
Hypertriglyceridemia	Hyperlipidemia, Familial Combined	0.9563516048461108	0	4	0.643266695613727
Craniofacial Abnormalities	Syndactyly	0.9090971506082411	0	6	0.642713645192669
Progeria	Werner Syndrome	0.9787700228790064	0	3	0.6425058393412568
Fatty Liver	Diabetes Mellitus	0.9319962914728824	0	5	0.6423653379073528
Syncope	Tachycardia, Ventricular	0.9785930979312424	0	3	0.64235400505509
Hyperlipidemia, Familial Combined	Dyslipidemias	0.9314825474784896	0	5	0.6419244506630889
Fibrous Dysplasia, Polyostotic	Cafe-au-Lait Spots	0.9780852866309874	0	3	0.6419182091582638
Diabetes Mellitus, Type 2	Diabetes Mellitus	0.8608789480168311	0	8	0.6413335206638966
Insulin Resistance	Hyperlipidemias	0.930639717211448	0	5	0.6412011466091753
Craniofacial Dysostosis	Hypertelorism	0.907174285925626	0	6	0.641063472109843
HIV Infections	Acquired Immunodeficiency Syndrome	0.8838545039736273	0	7	0.6410507916427899
Idiopathic Pulmonary Fibrosis	Pulmonary Alveolar Proteinosis	0.9304523770423232	0	5	0.6410403741392159
Magnesium Deficiency	Rickets	0.9303419588504904	0	5	0.6409456149345437
Hyperglycemia	Hyperinsulinism	0.9069211936555696	0	6	0.6408462721917758
Malabsorption Syndromes	Celiac Disease	0.9068823044698954	0	6	0.6408128980869868
Fetal Death	Fetal Growth Retardation	0.8830560980787217	0	7	0.6403656119060904
Alzheimer Disease	Dementia, Vascular	0.9059547745437098	0	6	0.6400169060800894
Glomerulonephritis	Lecithin Acyltransferase Deficiency	0.9751087151148374	0	3	0.6393637609750578
Long QT Syndrome	Tachycardia, Ventricular	0.9749259669213336	0	3	0.6392069292683955
Hematologic Neoplasms	Neutropenia	0.9049626198631202	0	6	0.6391654540966446
Glomerulonephritis, Membranoproliferative	Immune Complex Diseases	0.9501774116565306	0	4	0.6379680973807218
Hyperlipidemia, Familial Combined	Glucose Intolerance	0.9256013998285816	0	5	0.636877339633516
Hypertension, Renal	Kidney Failure, Chronic	0.9020790646586586	0	6	0.6366908310905298
Metabolic Diseases	Glucose Intolerance	0.925190173409053	0	5	0.6365244314051896
Lymphopenia	Immunologic Deficiency Syndromes	0.9251158881268816	0	5	0.6364606809113573
Microcephaly	Craniofacial Dysostosis	0.9250106230449346	0	5	0.6363703440268325
Fibrous Dysplasia, Polyostotic	Colorectal Neoplasms, Hereditary Nonpolyposis	0.97154912135875	0	3	0.6363089720160646
Insulin Resistance	Endometrial Neoplasms	0.9480061541890552	0	4	0.6361047574062
Crohn Disease	Inflammatory Bowel Diseases	0.9243429635513456	0	5	0.6357973688535014
Pulmonary Alveolar Proteinosis	Pulmonary Fibrosis	0.924196807912752	0	5	0.6356719403182066
Cardiomyopathies	Heart Diseases	0.8537210470752826	0	8	0.6351907194724922
Abnormalities, Multiple	Phenylketonurias	0.946845282980198	0	4	0.635108515476748
Kidney Diseases	Nephritis, Interstitial	0.8764487602330167	0	7	0.634695295549096
Phenylketonurias	Amino Acid Metabolism, Inborn Errors	0.9463587745106842	0	4	0.6346910013436855
Urinary Tract Infections	Vesico-Ureteral Reflux	0.8764264119778975	0	7	0.6346761166181086
Dwarfism	Craniofacial Dysostosis	0.9230302901100872	0	5	0.6346708525682476
Psychoses, Substance-Induced	Lewy Body Disease	0.9230256042269296	0	5	0.6346668312149377
Dementia	Dementia, Vascular	0.8993987330795676	0	6	0.6343906114937722
Tachycardia, Ventricular	Ventricular Fibrillation	0.8992731957601374	0	6	0.6342828772848668
Lung Diseases, Interstitial	Pulmonary Alveolar Proteinosis	0.9223764374824206	0	5	0.634109726236236
Hematologic Diseases	Thrombocytopenia	0.8990089514292541	0	6	0.6340561068386386
Carcinoma, Transitional Cell	Urinary Bladder Neoplasms	0.8522369206147156	0	8	0.6339170648264425
Stomach Diseases	Stomach Ulcer	0.8987214801262952	0	6	0.6338094033599608
Glomerulonephritis, Membranoproliferative	Hematuria	0.9453310556777968	0	4	0.6338090287482778
Fatty Liver	Metabolic Diseases	0.9220123641732476	0	5	0.6337972840865599
Abnormalities, Multiple	Amino Acid Metabolism, Inborn Errors	0.9453156829992624	0	4	0.6337958361505054
Hyperglycemia	Metabolic Diseases	0.8982968883922603	0	6	0.6334450252229918
Heart Block	Torsades de Pointes	0.944657536750798	0	4	0.6332310250987458
Sick Sinus Syndrome	Bundle-Branch Block	0.8979586824603218	0	6	0.6331547820611184
Fatty Liver	Endometrial Neoplasms	0.9442916109893588	0	4	0.6329169932028467
Helicobacter Infections	Duodenal Ulcer	0.9209741002307346	0	5	0.6329062618392358
Abnormalities, Multiple	Fibromatosis, Gingival	0.9441491696589928	0	4	0.6327947522301058
Angina, Unstable	Myocardial Infarction	0.8275844273651491	0	9	0.6327606718920962
Obesity	Endometrial Neoplasms	0.9439223751278628	0	4	0.6326001206296679
Hyperlipidemias	Hyperlipoproteinemias	0.9430945696027806	0	4	0.6318897105796755
Mental Retardation	Fibromatosis, Gingival	0.94304091275916	0	4	0.6318436630965361
Kidney Diseases	Nephrosis	0.8960014732402956	0	6	0.6314751350211855
Brugada Syndrome	Tachycardia, Ventricular	0.9192210819270996	0	5	0.6314018483230308
Coronary Artery Disease	Myocardial Infarction	0.8492429538103647	0	8	0.6313476882727607
Brugada Syndrome	Long QT Syndrome	0.923815760569932	2	4	0.6313449313122745
Chromosome Aberrations	Polydactyly	0.8957366886608882	0	6	0.6312479009419307
Neural Tube Defects	Spinal Dysraphism	0.942301652200308	0	4	0.6312092409832997
Inflammatory Bowel Diseases	Celiac Disease	0.8954768771132995	0	6	0.6310249346425784
Nephrotic Syndrome	Immune Complex Diseases	0.918671020356894	0	5	0.6309297938902582
Hypertension	Hyperuricemia	0.9186470485138184	0	5	0.6309092216209006
Death, Sudden, Cardiac	Arrhythmogenic Right Ventricular Dysplasia	0.918615837202894	0	5	0.6308824365508783
Bundle-Branch Block	Ventricular Fibrillation	0.8952399322606658	0	6	0.6308215921913568
Deafness	Ichthyosiform Erythroderma, Congenital	0.9651026509745658	0	3	0.6307767096559551
Diabetic Nephropathies	Diabetic Angiopathies	0.918445850057206	0	5	0.6307365561804202
Dermatitis, Atopic	Eczema	0.8709713848398338	0	7	0.6299946956992559
Hyperlipidemias	Glucose Intolerance	0.91744859534877	0	5	0.629880727431023
Synovitis	Bone Marrow Diseases	0.9173836751800604	0	5	0.6298250139344334
Fatty Liver	Hyperlipidemias	0.9173480237161852	0	5	0.6297944183930091
Hyperinsulinism	Endometrial Neoplasms	0.9401784531903408	0	4	0.6293871440425176
Hypertension, Renal	Renal Insufficiency	0.9400689488862743	0	4	0.6292931691223593
Coronary Disease	Coronary Stenosis	0.8697823858274819	0	7	0.6289743149187315
Craniofacial Abnormalities	Dwarfism	0.916310523988066	0	5	0.6289040519827981
Metabolic Syndrome X	Endometrial Neoplasms	0.9395269732532664	0	4	0.6288280539173097
Drug Eruptions	Urticaria	0.9154226702882124	0	5	0.6281421095069536
Myocardial Reperfusion Injury	Polycythemia	0.9151453979365683	0	5	0.6279041586124202
Microphthalmos	Eye Abnormalities	0.8913609485296438	0	6	0.6274927076372202
